text,label
"Architecture Intern at Gensler. Support commercial building design projects. Requirements: Architecture student, Revit proficiency. Paid internship with design studio access.",0
"Journalism Intern at The New York Times. Report on technology and business stories. Requirements: Journalism student, published clips required. Paid 10-week summer internship.",0
"Aerospace Engineering Intern at SpaceX. Support rocket propulsion systems. Requirements: AE student with thermal analysis skills. On-site at Hawthorne, CA. Paid internship.",0
"Network Engineering Intern at Juniper Networks. Configure and test network equipment. Requirements: CS or IT student, CCNA preferred. 12-week paid internship.",0
URGENT! Work from home internship. Earn $5000/week with just 2 hours of work daily! No experience needed. Send $200 registration fee to secure your spot. Limited positions available!,1
Congratulations! You have been selected for an exclusive internship. Pay $500 processing fee immediately. Wire transfer only. Guaranteed placement at Fortune 500 company. Act now before spots fill up!,1
Data entry internship - earn $3000/month from home! No interview required. Just send your bank details and SSN for direct deposit setup. Start immediately!,1
FREE internship certificate! Just pay $150 for materials. Work from anywhere. No skills required. Guaranteed job placement after completion. WhatsApp us at +91-XXXXXXXXXX.,1
"Earn while you learn! Secret shopper internship. We'll send you a check for $2500, keep $500 as payment and wire the rest back. Easy money!",1
International internship program. $100 application fee required. No interview needed. Work from home. Earn $4000/month. Send money via Western Union to confirm your spot.,1
HIRING NOW! Virtual assistant intern needed ASAP. $50/hour guaranteed. No experience. Send personal ID and bank info to get started today. Don't miss this opportunity!,1
Exclusive unpaid internship at unnamed top company. Must purchase $300 training kit. Certificate guaranteed. No interviews. Apply by sending payment to personal PayPal account.,1
"Congratulations you won internship lottery! Premium internship position available. Just verify identity by sending SSN, DOB, and credit card number. 100% legitimate opportunity.",1
Work from home social media internship. Make $2000 weekly posting ads. Investment of $250 required for starter package. Money-back guarantee! Contact via personal Gmail only.,1
AMAZING OPPORTUNITY! Become a brand ambassador intern. Buy our products worth $400 first to understand the brand. Commission-based earnings. Unlimited income potential!,1
Government internship program - guaranteed placement. Pay $350 registration fee. No eligibility criteria. Contact us on WhatsApp only. Certificate from Ministry of Education included.,1
"Crypto trading internship! Learn to trade and earn $10,000/month. Initial investment of $500 required. 100% returns guaranteed. No prior experience needed. Act fast!",1
"Remote internship at top MNC. Salary: $5000/month. Requirements: None. Just fill form with your Aadhaar number, PAN card, and bank details. Immediate joining.",1
PAID internship! But first pay $200 for background check and onboarding kit. The company name is confidential until you pay. Trust us - this is a Fortune 100 company!,1
Freelance writing internship - earn $100 per article. Must first complete unpaid trial of 20 articles to prove your skills. Payment starts after trial period. No contract provided.,1
IT internship at home! We provide all equipment - just pay $450 shipping and handling fee. Earn $3500/month. No technical skills needed. Diploma holders welcome.,1
Exclusive research internship. Pay $175 for access to our proprietary research tools. Publication guaranteed in 2 weeks. No mentor supervision needed. Certificate included.,1
Marketing internship with immediate offer letter! No interview. Pay $100 processing fee. We'll email your offer letter within 24 hours. Share with 10 friends for referral bonus.,1
Stock market internship. Invest $1000 and we double it in a week while teaching you trading. Guaranteed returns. No risk involved. WhatsApp for more details.,1
Travel and tourism internship. Pay $600 for all-inclusive training in Dubai. Guaranteed hotel placement. No qualifications needed. Visa and accommodation included (additional charges apply).,1
App development internship. No coding knowledge needed. Pay $250 for our AI-powered course. Build 10 apps in 5 days. Guaranteed internship certificate. Limited spots!,1
"HR internship at unnamed company. Work 1 hour daily, earn $2000 weekly. Send resume to personal Gmail. Pay $75 for company email access. Start tomorrow!",1
Paid clinical research internship. No medical background needed. Deposit $300 for lab access card. Earn $4000/month testing new supplements. No risks involved.,1
Digital marketing internship with Google certification! Pay $180 for study material. Exam answers provided. 100% pass rate. Certificate shipped within 3 days.,1
Photography internship. Buy our camera package for $800 and join our team. Earn $500 per photoshoot. No experience needed. Equipment is yours to keep!,1
URGENT HIRING: Customer support intern. $40/hour. Pay $150 for training software license. Work whenever you want. No schedule required. PayPal payment weekly.,1
Blockchain development internship. Invest 0.5 BTC to access our exclusive training. Return of 2 BTC guaranteed within 30 days plus internship certificate.,1
NGO internship abroad. Pay $500 for placement and accommodation. No interviews. Tax-deductible. Certificate of volunteering included. Apply through WhatsApp group link.,1
AI/ML internship. No prerequisites. Pay $200 for GPU cloud access. Build your portfolio in 3 days. Guaranteed referral to Amazon/Google. Money back if not satisfied.,1
